time,file,coverage,thickness_nm,mean_radius_nm,density_um2,island_count
10s,Nis_Ag_10s_2um_001_features.json,0.3579254150390625,1.9334792096609212,44.36653336305574,47.0,188
10s,Nis_Ag_10s_2um_002_features.json,0.24969482421875,0.8287620491003937,31.92103441456049,71.0,284
10s,Nis_Ag_10s_2um_003_features.json,0.3009490966796875,0.5722090367791085,37.158562729442195,41.0,164
20s,Nis_Ag_20s_2um_001_features.json,0.3495635986328125,1.1721261148878221,43.50876554976108,45.25,181
20s,Nis_Ag_20s_2um_002_features.json,0.25067138671875,0.42497631401521424,32.485919197544526,68.5,274
20s,Nis_Ag_20s_2um_003_features.json,0.30255126953125,0.8399637951896939,40.846827022407794,43.25,173
30s,Nis_Ag_30s_2um_001_features.json,0.340087890625,1.059820863713843,39.11868832669561,57.75,231
30s,Nis_Ag_30s_2um_002_features.json,0.2395477294921875,0.2764642590384967,29.36243452116087,81.75,327
30s,Nis_Ag_30s_2um_003_features.json,0.3151702880859375,0.38778991505345245,38.030951803357546,46.25,185
40s,Nis_Ag_40s_2um_001_features.json,0.3527374267578125,1.6700708672177518,44.641192073870215,34.75,139
40s,Nis_Ag_40s_2um_002_features.json,0.2480010986328125,0.5437834054039921,32.01612029782015,66.0,264
40s,Nis_Ag_40s_2um_003_features.json,0.4146575927734375,5.842351746451906,56.34935749345814,27.0,108
50s,Nis_Ag_50s_2um_001_features.json,0.357879638671875,2.2409522620755484,48.739785961087705,28.75,115
50s,Nis_Ag_50s_2um_002_features.json,0.23516845703125,0.36131803924101374,34.35931544770246,53.0,212
50s,Nis_Ag_50s_2um_003_features.json,0.3282928466796875,0.4217367401499686,51.45470436696312,23.0,92
60s,Nis_Ag_60s_2um_001_features.json,0.397705078125,2.584780296047261,55.81255967594221,24.5,98
60s,Nis_Ag_60s_2um_002_features.json,0.2515716552734375,0.5223519872679349,36.97170263397883,48.0,192
60s,Nis_Ag_60s_2um_003_features.json,0.2858123779296875,0.3948650339969471,40.85937976277584,38.25,153
